key,name,district,category,latitude,longitude,address,closed
1764876338,District Hospital Peroorkada,Thiruvananthapuram,District Hospital,8.5353544,76.9673732,"Peroorkada, Thiruvananthapuram 695005",false
4866245733,District Hospital Nedumangad,Thiruvananthapuram,District Hospital,8.603774,77.0008022,"Nedumangad, Thiruvananthapuram 695541",false
1115314583,AA Rahim Memorial District Hospital Kollam,Kollam,District Hospital,8.8880171,76.5846879,"Hospital Road, Kollam 691001",false
1115314674,District Hospital Kozhencherry,Pathanamthitta,District Hospital,9.3356364,76.7063591,"Kozhencherry, Pathanamthitta 689641",false
4736458326,District Hospital Mavelikara,Alappuzha,District Hospital,9.2559616,76.5516494,"Thazhakara PO, Mavelikara 690102",false
5882517484,District Hospital Chengannur,Alappuzha,District Hospital,9.3285603,76.6165824,Chengannur 689121,false
1115314732,District Hospital Idukki,Idukki,District Hospital,9.8537728,76.9389028,Idukki Colony PO 685602,false
6688123774,District Hospital Thodupuzha,Idukki,District Hospital,9.9001388,76.7266153,Thodupuzha East PO 685584,false
4572885723,District Hospital Aluva,Ernakulam,District Hospital,10.1052066,76.3555833,Aluva 683101,false
7624348178,District Hospital Wadakkanchery,Thrissur,District Hospital,10.6655614,76.2525185,Wadakkanchery 680590,false
1115315788,District Hospital Palakkad,Palakkad,District Hospital,10.7680087,76.6583995,"Court Road, Palakkad 678001",false
2776633774,District Hospital Tirur,Malappuram,District Hospital,10.9118666,75.9226716,Tirur 676104,false
1111678619,District Hospital Perinthalmanna,Malappuram,District Hospital,10.9745721,76.2322311,Perinthalmanna 679322,false
4827534571,District Hospital Nilambur,Malappuram,District Hospital,11.2764809,76.2223146,Nilambur 679329,false
1115315846,District Hospital Vatakara,Kozhikode,District Hospital,11.59933,75.59659,Vatakara 673101,false
3364334767,District Hospital Mananthavady,Wayanad,District Hospital,11.8004688,76.0020462,Mananthavady 670645,false
1115316380,District Hospital Kannur,Kannur,District Hospital,11.8606711,75.3720299,Kannur HQ 670017,false
6528574863,District Hospital Kanhangad,Kasaragod,District Hospital,12.3147,75.1051,"Bella, Kanhangad 671531",false
1115288514,General Hospital Thiruvananthapuram,Thiruvananthapuram,General Hospital,8.4998918,76.9433242,"Vanchiyoor PO, Thiruvananthapuram 695035",false
1115288217,General Hospital Neyyattinkara,Thiruvananthapuram,General Hospital,8.4065987,77.0855838,Neyyattinkara 695121,false
1115312488,General Hospital Pathanamthitta,Pathanamthitta,General Hospital,9.2664487,76.7819347,Pathanamthitta PO 689645,false
1115311886,General Hospital Adoor,Pathanamthitta,General Hospital,9.1568031,76.7307354,Adoor PO 691523,false
